z_round,dcm_mpc,dcm_transverse_mpc
0.42,1620.54752266,1620.54752266
0.421,1623.97658285,1623.97658285
0.422,1627.40364732,1627.40364732
0.423,1630.82871673,1630.82871673
0.424,1634.25179178,1634.25179178
0.425,1637.67287314,1637.67287314
0.426,1641.0919615,1641.0919615
0.427,1644.50905754,1644.50905754
0.428,1647.92416197,1647.92416197
0.429,1651.33727546,1651.33727546
0.43,1654.74839873,1654.74839873
0.431,1658.15753246,1658.15753246
0.432,1661.56467735,1661.56467735
0.433,1664.96983412,1664.96983412
0.434,1668.37300346,1668.37300346
0.435,1671.77418609,1671.77418609
0.436,1675.17338271,1675.17338271
0.437,1678.57059404,1678.57059404
0.438,1681.96582079,1681.96582079
0.439,1685.35906369,1685.35906369
0.44,1688.75032345,1688.75032345
0.441,1692.13960079,1692.13960079
0.442,1695.52689645,1695.52689645
0.443,1698.91221114,1698.91221114
0.444,1702.29554561,1702.29554561
0.445,1705.67690058,1705.67690058
0.446,1709.05627678,1709.05627678
0.447,1712.43367496,1712.43367496
0.448,1715.80909585,1715.80909585
0.449,1719.1825402,1719.1825402
0.45,1722.55400874,1722.55400874
0.451,1725.92350224,1725.92350224
0.452,1729.29102143,1729.29102143
0.453,1732.65656707,1732.65656707
0.454,1736.02013991,1736.02013991
0.455,1739.3817407,1739.3817407
0.456,1742.74137021,1742.74137021
0.457,1746.0990292,1746.0990292
0.458,1749.45471842,1749.45471842
0.459,1752.80843865,1752.80843865
0.46,1756.16019065,1756.16019065
0.461,1759.50997518,1759.50997518
0.462,1762.85779303,1762.85779303
0.463,1766.20364497,1766.20364497
0.464,1769.54753176,1769.54753176
0.465,1772.88945419,1772.88945419
0.466,1776.22941305,1776.22941305
0.467,1779.56740911,1779.56740911
0.468,1782.90344315,1782.90344315
0.469,1786.23751597,1786.23751597
0.47,1789.56962835,1789.56962835
0.471,1792.89978108,1792.89978108
0.472,1796.22797497,1796.22797497
0.473,1799.55421079,1799.55421079
0.474,1802.87848936,1802.87848936
0.475,1806.20081147,1806.20081147
0.476,1809.52117792,1809.52117792
0.477,1812.83958952,1812.83958952
0.478,1816.15604707,1816.15604707
0.479,1819.47055138,1819.47055138
0.48,1822.78310326,1822.78310326
0.481,1826.09370352,1826.09370352
0.482,1829.40235298,1829.40235298
0.483,1832.70905245,1832.70905245
0.484,1836.01380275,1836.01380275
0.485,1839.3166047,1839.3166047
0.486,1842.61745913,1842.61745913
0.487,1845.91636686,1845.91636686
0.488,1849.2133287,1849.2133287
0.489,1852.5083455,1852.5083455
0.49,1855.80141808,1855.80141808
0.491,1859.09254728,1859.09254728
0.492,1862.38173392,1862.38173392
0.493,1865.66897885,1865.66897885
0.494,1868.9542829,1868.9542829
0.495,1872.23764692,1872.23764692
0.496,1875.51907173,1875.51907173
0.497,1878.79855819,1878.79855819
0.498,1882.07610715,1882.07610715
0.499,1885.35171945,1885.35171945
0.5,1888.62539593,1888.62539593
0.501,1891.89713746,1891.89713746
0.502,1895.16694488,1895.16694488
0.503,1898.43481905,1898.43481905
0.504,1901.70076083,1901.70076083
0.505,1904.96477107,1904.96477107
0.506,1908.22685063,1908.22685063
0.507,1911.48700038,1911.48700038
0.508,1914.74522119,1914.74522119
0.509,1918.0015139,1918.0015139
0.51,1921.25587941,1921.25587941
0.511,1924.50831857,1924.50831857
0.512,1927.75883225,1927.75883225
0.513,1931.00742133,1931.00742133
0.514,1934.25408668,1934.25408668
0.515,1937.49882919,1937.49882919
0.516,1940.74164972,1940.74164972
0.517,1943.98254916,1943.98254916
0.518,1947.22152838,1947.22152838
0.519,1950.45858828,1950.45858828
0.52,1953.69372974,1953.69372974
0.521,1956.92695365,1956.92695365
0.522,1960.15826088,1960.15826088
0.523,1963.38765234,1963.38765234
0.524,1966.61512891,1966.61512891
0.525,1969.8406915,1969.8406915
0.526,1973.06434099,1973.06434099
0.527,1976.28607827,1976.28607827
0.528,1979.50590426,1979.50590426
0.529,1982.72381985,1982.72381985
0.53,1985.93982594,1985.93982594
0.531,1989.15392343,1989.15392343
0.532,1992.36611323,1992.36611323
0.533,1995.57639625,1995.57639625
0.534,1998.78477339,1998.78477339
0.535,2001.99124557,2001.99124557
0.536,2005.19581369,2005.19581369
0.537,2008.39847867,2008.39847867
0.538,2011.59924142,2011.59924142
0.539,2014.79810287,2014.79810287
0.54,2017.99506391,2017.99506391
0.541,2021.19012549,2021.19012549
0.542,2024.38328851,2024.38328851
0.543,2027.5745539,2027.5745539
0.544,2030.76392258,2030.76392258
0.545,2033.95139548,2033.95139548
0.546,2037.13697352,2037.13697352
0.547,2040.32065763,2040.32065763
0.548,2043.50244875,2043.50244875
0.549,2046.68234779,2046.68234779
0.55,2049.86035571,2049.86035571
0.551,2053.03647342,2053.03647342
0.552,2056.21070187,2056.21070187
0.553,2059.38304199,2059.38304199
0.554,2062.55349472,2062.55349472
0.555,2065.722061,2065.722061
0.556,2068.88874177,2068.88874177
0.557,2072.05353797,2072.05353797
0.558,2075.21645056,2075.21645056
0.559,2078.37748046,2078.37748046
0.56,2081.53662864,2081.53662864
0.561,2084.69389603,2084.69389603
0.562,2087.84928359,2087.84928359
0.563,2091.00279227,2091.00279227
0.564,2094.15442303,2094.15442303
0.565,2097.3041768,2097.3041768
0.566,2100.45205456,2100.45205456
0.567,2103.59805725,2103.59805725
0.568,2106.74218584,2106.74218584
0.569,2109.88444128,2109.88444128
0.57,2113.02482453,2113.02482453
0.571,2116.16333655,2116.16333655
0.572,2119.29997832,2119.29997832
0.573,2122.43475078,2122.43475078
0.574,2125.56765492,2125.56765492
0.575,2128.69869168,2128.69869168
0.576,2131.82786205,2131.82786205
0.577,2134.95516699,2134.95516699
0.578,2138.08060747,2138.08060747
0.579,2141.20418446,2141.20418446
0.58,2144.32589894,2144.32589894
0.581,2147.44575188,2147.44575188
0.582,2150.56374425,2150.56374425
0.583,2153.67987704,2153.67987704
0.584,2156.79415122,2156.79415122
0.585,2159.90656777,2159.90656777
0.586,2163.01712766,2163.01712766
0.587,2166.12583189,2166.12583189
0.588,2169.23268143,2169.23268143
0.589,2172.33767727,2172.33767727
0.59,2175.4408204,2175.4408204
0.591,2178.54211179,2178.54211179
0.592,2181.64155243,2181.64155243
0.593,2184.73914332,2184.73914332
0.594,2187.83488545,2187.83488545
0.595,2190.9287798,2190.9287798
0.596,2194.02082737,2194.02082737
0.597,2197.11102914,2197.11102914
0.598,2200.19938612,2200.19938612
0.599,2203.2858993,2203.2858993
0.6,2206.37056967,2206.37056967
0.601,2209.45339824,2209.45339824
0.602,2212.53438599,2212.53438599
0.603,2215.61353394,2215.61353394
0.604,2218.69084307,2218.69084307
0.605,2221.7663144,2221.7663144
0.606,2224.83994892,2224.83994892
0.607,2227.91174764,2227.91174764
0.608,2230.98171157,2230.98171157
0.609,2234.0498417,2234.0498417
0.61,2237.11613905,2237.11613905
0.611,2240.18060463,2240.18060463
0.612,2243.24323943,2243.24323943
0.613,2246.30404448,2246.30404448
0.614,2249.36302078,2249.36302078
0.615,2252.42016935,2252.42016935
0.616,2255.47549119,2255.47549119
0.617,2258.52898733,2258.52898733
0.618,2261.58065877,2261.58065877
0.619,2264.63050654,2264.63050654
0.62,2267.67853164,2267.67853164
0.621,2270.7247351,2270.7247351
0.622,2273.76911794,2273.76911794
0.623,2276.81168117,2276.81168117
0.624,2279.85242582,2279.85242582
0.625,2282.8913529,2282.8913529
0.626,2285.92846344,2285.92846344
0.627,2288.96375846,2288.96375846
0.628,2291.99723899,2291.99723899
0.629,2295.02890606,2295.02890606
0.63,2298.05876068,2298.05876068
0.631,2301.08680388,2301.08680388
0.632,2304.11303669,2304.11303669
0.633,2307.13746015,2307.13746015
0.634,2310.16007528,2310.16007528
0.635,2313.1808831,2313.1808831
0.636,2316.19988466,2316.19988466
0.637,2319.21708098,2319.21708098
0.638,2322.2324731,2322.2324731
0.639,2325.24606205,2325.24606205
0.64,2328.25784886,2328.25784886
0.641,2331.26783457,2331.26783457
0.642,2334.27602022,2334.27602022
0.643,2337.28240684,2337.28240684
0.644,2340.28699547,2340.28699547
0.645,2343.28978715,2343.28978715
0.646,2346.29078292,2346.29078292
0.647,2349.28998382,2349.28998382
0.648,2352.28739089,2352.28739089
0.649,2355.28300517,2355.28300517
0.65,2358.27682771,2358.27682771
0.651,2361.26885954,2361.26885954
0.652,2364.25910172,2364.25910172
0.653,2367.24755528,2367.24755528
0.654,2370.23422127,2370.23422127
0.655,2373.21910074,2373.21910074
0.656,2376.20219474,2376.20219474
0.657,2379.1835043,2379.1835043
0.658,2382.16303049,2382.16303049
0.659,2385.14077435,2385.14077435
0.66,2388.11673693,2388.11673693
0.661,2391.09091929,2391.09091929
0.662,2394.06332246,2394.06332246
0.663,2397.03394751,2397.03394751
0.664,2400.00279548,2400.00279548
0.665,2402.96986743,2402.96986743
0.666,2405.93516442,2405.93516442
0.667,2408.8986875,2408.8986875
0.668,2411.86043772,2411.86043772
0.669,2414.82041614,2414.82041614
0.67,2417.77862382,2417.77862382
0.671,2420.73506181,2420.73506181
0.672,2423.68973117,2423.68973117
0.673,2426.64263296,2426.64263296
0.674,2429.59376825,2429.59376825
0.675,2432.54313808,2432.54313808
0.676,2435.49074352,2435.49074352
0.677,2438.43658563,2438.43658563
0.678,2441.38066548,2441.38066548
0.679,2444.32298412,2444.32298412
0.68,2447.26354261,2447.26354261
0.681,2450.20234203,2450.20234203
0.682,2453.13938343,2453.13938343
0.683,2456.07466788,2456.07466788
0.684,2459.00819645,2459.00819645
0.685,2461.9399702,2461.9399702
0.686,2464.86999019,2464.86999019
0.687,2467.7982575,2467.7982575
0.688,2470.72477319,2470.72477319
0.689,2473.64953832,2473.64953832
0.69,2476.57255398,2476.57255398
0.691,2479.49382122,2479.49382122
0.692,2482.41334111,2482.41334111
0.693,2485.33111474,2485.33111474
0.694,2488.24714315,2488.24714315
0.695,2491.16142744,2491.16142744
0.696,2494.07396867,2494.07396867
0.697,2496.9847679,2496.9847679
0.698,2499.89382622,2499.89382622
0.699,2502.8011447,2502.8011447
0.7,2505.70672441,2505.70672441
0.701,2508.61056642,2508.61056642
0.702,2511.51267181,2511.51267181
0.703,2514.41304166,2514.41304166
0.704,2517.31167703,2517.31167703
0.705,2520.20857901,2520.20857901
0.706,2523.10374867,2523.10374867
0.707,2525.99718709,2525.99718709
0.708,2528.88889535,2528.88889535
0.709,2531.77887452,2531.77887452
